Name,blng__Active__c,blng__Type__c,blng__DistributionMethod__c,blng__MonthlyRecognitionProration__c,blng__RevenueTransactionCreationProcess__c,blng__RevenueScheduleTermStartDate__c,blng__RevenueScheduleTermEndDate__c,blng__FullRecognitionDate__c,blng__Notes__c,Errors,Id
Order Based - Full Recognition,true,Order,Full Recognition,Number of Days,Automatic,,,Order Product Start Date,,,a3X8d000000LiViEAK
Order Based - Manual,true,Order,Full Recognition,Number of Days,Manual,,,Manual,,,a3X8d000000LiVjEAK
Order Based - Monthly,true,Order,Monthly,Number of Days,Automatic,Order Product Start Date,Order Product End Date,,,,a3X8d000000LiVkEAK
Invoice Based - Monthly,true,Invoice,Monthly,Number of Days,Automatic,Invoice Line Start Date,Invoice Line End Date,,,,a3X8d000000LiVlEAK
Invoice Based - Full Recognition,true,Invoice,Full Recognition,Number of Days,Automatic,,,Invoice Line Start Date,,,a3X8d000000LiVmEAK
Invoice Based - Manual,true,Invoice,Full Recognition,Number of Days,Manual,,,Manual,,,a3X8d000000LiVnEAK
